# timestamp,mag_x,mag_y,mag_z
1527409021904,-35.77423,-10.670471,-15.214539
1527409021914,-35.77423,-10.670471,-15.214539
1527409021924,-34.861755,-9.547424,-13.824463
1527409021934,-34.861755,-9.547424,-13.824463
1527409021944,-34.861755,-9.547424,-13.824463
1527409021954,-35.064697,-11.880493,-14.23645
1527409021964,-35.383606,-13.9678955,-9.010315
1527409021974,-35.383606,-13.9678955,-9.010315
1527409021983,-33.33893,-12.37793,-13.684082
1527409021994,-33.33893,-12.37793,-13.684082
1527409022003,-34.822083,-15.330505,-10.020447
1527409022014,-34.822083,-15.330505,-10.020447
1527409022024,-34.822083,-15.330505,-10.020447
1527409022034,-35.23712,-10.748291,-14.271545
1527409022044,-34.65271,-11.836243,-12.232971
1527409022055,-34.65271,-11.836243,-12.232971
1527409022065,-35.887146,-18.203735,-11.373901
1527409022076,-35.887146,-18.203735,-11.373901
1527409022085,-34.114075,-11.901855,-13.885498
1527409022096,-34.114075,-11.901855,-13.885498
1527409022107,-34.613037,-11.386108,-14.8376465
1527409022118,-34.613037,-11.386108,-14.8376465
1527409022128,-32.01294,-11.195374,-13.803101
1527409022137,-32.01294,-11.195374,-13.803101
1527409022149,-34.57184,-9.358215,-15.4953
1527409022159,-34.57184,-9.358215,-15.4953
1527409022169,-35.09674,-15.364075,-10.4904175
1527409022178,-35.09674,-15.364075,-10.4904175
1527409022189,-34.962463,-10.710144,-14.86969
1527409022199,-34.962463,-10.710144,-14.86969
1527409022209,-35.79712,-9.3688965,-16.468811
1527409022219,-35.79712,-9.3688965,-16.468811
1527409022229,-34.97162,-15.492249,-10.63385
1527409022240,-34.97162,-15.492249,-10.63385
1527409022250,-34.962463,-10.710144,-14.86969
1527409022260,-34.962463,-10.710144,-14.86969
1527409022270,-34.199524,-11.331177,-14.819336
1527409022280,-34.199524,-11.331177,-14.819336
1527409022291,-33.43048,-13.412476,-11.068726
1527409022301,-33.43048,-13.412476,-11.068726
1527409022311,-35.324097,-10.185242,-13.98468
1527409022321,-35.324097,-10.185242,-13.98468
1527409022331,-35.26001,-14.100647,-8.085632
1527409022341,-35.26001,-14.100647,-8.085632
1527409022351,-34.300232,-9.342957,-11.361694
1527409022361,-34.300232,-9.342957,-11.361694
1527409022371,-36.125183,-10.006714,-12.957764
1527409022382,-36.125183,-10.006714,-12.957764
1527409022392,-32.765198,-10.443115,-10.650635
1527409022402,-32.765198,-10.443115,-10.650635
1527409022412,-36.11145,-8.274841,-12.8463745
1527409022422,-36.11145,-8.274841,-12.8463745
1527409022432,-36.1969,-7.7026367,-14.085388
1527409022442,-36.1969,-7.7026367,-14.085388
1527409022452,-33.58612,-8.955383,-12.4053955
1527409022462,-33.58612,-8.955383,-12.4053955
1527409022472,-34.843445,-12.452698,-9.327698
1527409022482,-34.843445,-12.452698,-9.327698
1527409022492,-32.948303,-7.8689575,-11.180115
1527409022501,-32.948303,-7.8689575,-11.180115
1527409022512,-34.857178,-6.375122,-13.597107
1527409022522,-34.857178,-6.375122,-13.597107
1527409022532,-35.85968,-6.944275,-12.562561
1527409022542,-35.85968,-6.944275,-12.562561
1527409022552,-32.96814,-6.55365,-15.180969
1527409022562,-32.96814,-6.55365,-15.180969
1527409022572,-35.46295,-8.628845,-11.585999
1527409022582,-35.46295,-8.628845,-11.585999
1527409022592,-35.586548,-8.4991455,-11.747742
1527409022602,-35.586548,-8.4991455,-11.747742
1527409022613,-33.950806,-8.439636,-9.687805
1527409022623,-33.950806,-8.439636,-9.687805
1527409022632,-33.57086,-5.645752,-10.653687
1527409022643,-35.003662,-11.167908,-10.739136
1527409022653,-35.003662,-11.167908,-10.739136
1527409022662,-35.003662,-11.167908,-10.739136
1527409022674,-34.71985,-4.777527,-12.408447
1527409022690,-34.095764,-5.41687,-12.362671
1527409022700,-34.095764,-5.41687,-12.362671
1527409022710,-34.513855,-8.659363,-9.403992
1527409022721,-34.513855,-8.659363,-9.403992
1527409022731,-34.0683,-5.116272,-13.894653
1527409022741,-34.0683,-5.116272,-13.894653
1527409022751,-34.007263,-5.975342,-13.719177
1527409022761,-34.007263,-5.975342,-13.719177
1527409022772,-35.17456,-8.4487915,-10.966492
1527409022782,-35.17456,-8.4487915,-10.966492
1527409022792,-33.8562,-4.232788,-12.226868
1527409022802,-33.8562,-4.232788,-12.226868
1527409022812,-34.86023,-6.3919067,-10.543823
1527409022822,-34.86023,-6.3919067,-10.543823
1527409022832,-33.44879,-7.3638916,-9.841919
1527409022841,-33.44879,-7.3638916,-9.841919
1527409022852,-36.46698,-2.9830933,-13.145447
1527409022862,-36.46698,-2.9830933,-13.145447
1527409022872,-32.47223,-7.084656,-11.177063
1527409022882,-32.47223,-7.084656,-11.177063
1527409022892,-33.821106,-6.9641113,-13.075256
1527409022902,-33.821106,-6.9641113,-13.075256
1527409022912,-35.47058,-5.593872,-12.88147
1527409022922,-35.47058,-5.593872,-12.88147
1527409022932,-36.242676,-9.75647,-8.23822
1527409022942,-36.242676,-9.75647,-8.23822
1527409022952,-34.79767,-7.243347,-11.436462
1527409022962,-34.79767,-7.243347,-11.436462
1527409022972,-32.624817,-7.2616577,-8.584595
1527409022982,-32.624817,-7.2616577,-8.584595
1527409022992,-34.970093,-6.1050415,-12.997437
1527409023002,-34.970093,-6.1050415,-12.997437
1527409023012,-35.054016,-10.171509,-9.393311
1527409023022,-35.054016,-10.171509,-9.393311
1527409023032,-31.159973,-7.637024,-10.643005
1527409023042,-31.159973,-7.637024,-10.643005
1527409023052,-34.5932,-3.3233643,-11.369324
1527409023062,-34.5932,-3.3233643,-11.369324
1527409023072,-35.803223,-9.402466,-9.751892
1527409023082,-35.803223,-9.402466,-9.751892
1527409023092,-34.239197,-8.621216,-9.849548
1527409023102,-34.239197,-8.621216,-9.849548
1527409023112,-33.66089,-6.668091,-10.174561
1527409023122,-33.66089,-6.668091,-10.174561
1527409023131,-34.594727,-12.715149,-7.936096
1527409023142,-34.594727,-12.715149,-7.936096
1527409023153,-36.045837,-7.536316,-14.387512
1527409023163,-36.236572,-8.145142,-13.008118
1527409023173,-36.236572,-8.145142,-13.008118
1527409023183,-36.236572,-8.145142,-13.008118
1527409023193,-34.181213,-11.0824585,-6.5826416
1527409023204,-34.553528,-10.681152,-9.967041
1527409023215,-34.553528,-10.681152,-9.967041
1527409023226,-36.120605,-13.058472,-8.152771
1527409023236,-36.120605,-13.058472,-8.152771
1527409023246,-34.965515,-9.150696,-9.413147
1527409023256,-34.965515,-9.150696,-9.413147
1527409023266,-34.45282,-9.521484,-8.46405
1527409023277,-34.45282,-9.521484,-8.46405
1527409023287,-32.22809,-10.522461,-9.707642
1527409023297,-32.22809,-10.522461,-9.707642
1527409023307,-33.055115,-12.219238,-9.248352
1527409023317,-33.055115,-12.219238,-9.248352
1527409023327,-34.210205,-8.31604,-12.451172
1527409023337,-34.210205,-8.31604,-12.451172
1527409023347,-33.387756,-9.80072,-11.154175
1527409023357,-33.387756,-9.80072,-11.154175
1527409023368,-33.468628,-13.85498,-10.296631
1527409023378,-33.468628,-13.85498,-10.296631
1527409023388,-33.425903,-10.235596,-11.909485
1527409023397,-33.425903,-10.235596,-11.909485
1527409023408,-33.1131,-9.765625,-11.141968
1527409023418,-33.1131,-9.765625,-11.141968
1527409023428,-32.852173,-9.87854,-10.516357
1527409023438,-32.852173,-9.87854,-10.516357
1527409023448,-33.706665,-13.456726,-9.555054
1527409023458,-33.706665,-13.456726,-9.555054
1527409023469,-34.05304,-11.184692,-11.610413
1527409023479,-34.05304,-11.184692,-11.610413
1527409023489,-33.950806,-10.018921,-11.328125
1527409023499,-33.950806,-10.018921,-11.328125
1527409023509,-30.10559,-12.704468,-8.180237
1527409023519,-30.10559,-12.704468,-8.180237
1527409023529,-34.21936,-13.093567,-8.976746
1527409023539,-34.21936,-13.093567,-8.976746
1527409023551,-33.491516,-12.554932,-11.245728
1527409023561,-33.491516,-12.554932,-11.245728
1527409023572,-34.155273,-12.356567,-10.517883
1527409023582,-34.155273,-12.356567,-10.517883
1527409023591,-33.200073,-9.199524,-11.312866
1527409023602,-33.200073,-9.199524,-11.312866
1527409023612,-33.392334,-11.402893,-8.215332
1527409023623,-33.392334,-11.402893,-8.215332
1527409023633,-33.01239,-8.604431,-9.944153
1527409023643,-33.01239,-8.604431,-9.944153
1527409023653,-33.076477,-9.332275,-10.388184
1527409023664,-32.203674,-11.817932,-9.52301
1527409023674,-32.203674,-11.817932,-9.52301
1527409023684,-32.203674,-11.817932,-9.52301
1527409023695,-33.28705,-8.636475,-10.719299
1527409023709,-32.852173,-9.87854,-10.516357
1527409023719,-32.852173,-9.87854,-10.516357
1527409023731,-32.70874,-14.483643,-8.718872
1527409023741,-32.70874,-14.483643,-8.718872
1527409023751,-33.683777,-13.174438,-7.575989
1527409023762,-33.683777,-13.174438,-7.575989
1527409023772,-33.27942,-11.669922,-9.577942
1527409023783,-31.452942,-10.997009,-9.812927
1527409023794,-31.452942,-10.997009,-9.812927
1527409023804,-32.20215,-10.22644,-10.476685
1527409023814,-32.20215,-10.22644,-10.476685
1527409023825,-31.863403,-9.465027,-9.716797
1527409023835,-31.863403,-9.465027,-9.716797
1527409023845,-32.165527,-9.799194,-8.502197
1527409023856,-32.165527,-9.799194,-8.502197
1527409023866,-33.135986,-16.273499,-8.085632
1527409023876,-33.135986,-16.273499,-8.085632
1527409023886,-33.651733,-9.698486,-9.796143
1527409023896,-33.651733,-9.698486,-9.796143
1527409023906,-31.555176,-12.168884,-9.025574
1527409023916,-31.555176,-12.168884,-9.025574
1527409023926,-32.63855,-8.9904785,-9.611511
1527409023936,-32.63855,-8.9904785,-9.611511
1527409023946,-33.052063,-9.049988,-8.409119
1527409023956,-33.052063,-9.049988,-8.409119
